id_restaurant,rest_name,rest_url,rest_phone,rest_address,rest_reviews_number,rest_rating
0,Ирландский паб Dublin,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7124632-Reviews-Irish_Pub_Dublin-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 930 014-22-82,"Коммунальная площадь, 9Б, Липецк 398059 Россия",125,4
1,Kафе-бар яхт-клуб Марбелья,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7023422-Reviews-Cafe_Bar_Yacht_Club_Marbelya-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 279-02-20,"ул. Карла Маркса, 31, Липецк 398059 Россия",125,4
2,Корчма Гоголь,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189288-Reviews-Korchma_Gogol-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-00-04,"Космонавтов, 24, Липецк 398016 Россия",88,4
3,ПолМедведя,https://www.tripadvisor.ru/Restaurant_Review-g798123-d4888199-Reviews-PolMedvedya-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 246-70-80,"ул. Катукова, 18A, Липецк 398036 Россия",81,4.5
4,Merzen,https://www.tripadvisor.ru/Restaurant_Review-g798123-d5566770-Reviews-Merzen-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-47-74,"ул. Скороходова, д. 1б, Липецк 398059 Россия",107,4
5,Шокунин,https://www.tripadvisor.ru/Restaurant_Review-g798123-d10847653-Reviews-Shokunin-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 290-51-05,"ул. Плеханова, дом 59, Липецк 398050 Россия",31,4.5
6,Малика,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189302-Reviews-Malika-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 232-56-40,"Московская, 79г, Липецк 398045 Россия",57,4.5
7,Иль Песто,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7605840-Reviews-Il_Pesto-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 230-00-00,"Театральная пл., 3 Mercure Lipetsk Center, Липецк 398019 Россия",77,4
8,Гастробар «Фабрика»,https://www.tripadvisor.ru/Restaurant_Review-g798123-d19091163-Reviews-Fabrika-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 290-48-50,"Фрунзе, 1, Липецк 398001 Россия",23,4.5
9,Фёст,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189386-Reviews-Fyost-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-55-55,"Первомайская, 32а, Липецк 398001 Россия",113,4
10,Антонио,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189220-Reviews-Antonio-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-05-52,"Неделина, 15в, Липецк 398059 Россия",70,4
11,Фёст Кафе,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6990301-Reviews-First_Coffee-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-73-69,"ул. Плеханова, д.35, Липецк 398050 Россия",53,4
